"Dish Name,States (Commonly Found In),Area Type (Rural/Urban/Both),Diet Type,Income Range (Commonly Consumed By)"
"Bottle gourd soup (Ghiya/Lauki soup),Rajasthan;Delhi;Uttar Pradesh;Haryana;Punjab,both,Vegetarian,1-3L;3-6L"
"Baked potato soup,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L"
"Pumpkin soup,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L"
"Sweet corn soup,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Paneer soup,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Curried Cauliflower soup,Delhi;Mumbai;Hyderabad;Kolkata;Pune,urban,Vegetarian,3-6L"
"Millet soup,Karnataka;Tamil Nadu;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Lemon coriander soup,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Garlic soup,Delhi;Rajasthan;Uttar Pradesh;Punjab;Haryana,both,Vegetarian,1-3L;3-6L"
"Dal makhani,Punjab;Delhi;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Dalma,Odisha;Jharkhand;Bihar;West Bengal;Chhattisgarh,both,Vegetarian,1-3L;3-6L"
"Split bengal gram dal (Channa dal),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Horsegram dal (Kulthi dal) ,Karnataka;Tamil Nadu;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Panchmel dal,Rajasthan;Gujarat;Madhya Pradesh;Delhi;Haryana,both,Vegetarian,1-3L;3-6L"
"Dal dhokli,Gujarat;Rajasthan;Maharashtra;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Gujarati handvo ,Gujarat;Maharashtra;Rajasthan;Madhya Pradesh;Delhi,both,Vegetarian,1-3L;3-6L"
"Sev (Omapodi/Karapusa),Tamil Nadu;Karnataka;Andhra Pradesh;Telangana;Kerala,both,Vegetarian,1-3L;3-6L"
"Papdi,Gujarat;Rajasthan;Delhi;Madhya Pradesh;Uttar Pradesh,both,Vegetarian,1-3L;3-6L"
"Jowar dosa,Karnataka;Maharashtra;Telangana;Andhra Pradesh;Tamil Nadu,both,Vegetarian,1-3L;3-6L"
"Bread roll,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Soya seekh kebab,Delhi;Maharashtra;Uttar Pradesh;Punjab;Haryana,both,Vegetarian,3-6L;>6L"
"Classic seasoned black beans,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Maa chaane ki dal,Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Garlic chickpea soup (Lahasun aur chane ka shoraba),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"White sauce (thin),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"White sauce (medium),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"White sauce (thick),All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Cheese sauce,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Egg sauce,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Eggitarian,3-6L;>6L"
"Mushroom sauce,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Mustard sauce,Delhi;Mumbai;Kolkata;Goa;Hyderabad,urban,Vegetarian,3-6L;>6L"
"Brown sauce,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Classic italian pasta,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pasta spinach sauce,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Pasta cheese sauce,Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Mayonnaise,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Low calorie quick mayonnaise,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Thousand island dressing,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Curd dip,All Indian States and UTs,urban,Vegetarian,3-6L"
"Short crust pastry,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Choux pastry,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Flaky pastry,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Sponge cake ,All Indian States and UTs,urban,Vegetarian,3-6L"
"Glace icing,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L"
"Royal icing,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L"
"American frosting,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Gum icing,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L"
"Channa murmura premix,All Indian States and UTs,both,Vegetarian,1-3L"
"Cracked wheat and green gram dal premix (Dalia moong dal premix),All Indian States and UTs,both,Vegetarian,1-3L"
"Rice flakes and roasted channa ,All Indian States and UTs,both,Vegetarian,1-3L"
"Spinach soup in milk ,Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,3-6L"
"Vegetable soup,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mashed banana with milk,All Indian States and UTs,both,Vegetarian,<1L;1-3L"
"Poha with curd (Poha aur dahi),Maharashtra;Madhya Pradesh;Gujarat;Rajasthan;Delhi,both,Vegetarian,1-3L;3-6L"
"Potato with curd,Delhi;Haryana;Uttar Pradesh;Punjab;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Sweet wheat porridge (Sweet dalia),All Indian States and UTs,both,Vegetarian,<1L;1-3L"
"Vegetable khichdi/khichri,All Indian States and UTs,both,Vegetarian,<1L;1-3L;3-6L"
"Moong dal mixture,All Indian States and UTs,both,Vegetarian,<1L;1-3L"
"Cracked wheat khichri/khichdi (Dalia khichri/khichdi),All Indian States and UTs,both,Vegetarian,<1L;1-3L"
"Stewed apple,Delhi;Punjab;Haryana;Uttar Pradesh;Kolkata,both,Vegetarian,3-6L;>6L"
"Lemon squash (Nimbu ka squash),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Orange squash (Santre ka squash),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Lichi squash,Bihar;Uttar Pradesh;West Bengal;Assam;Delhi,both,Vegetarian,3-6L"
"Mango squash (Aam ka squash),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Pineapple squash (Ananas ka squash),Kerala;Tamil Nadu;Goa;Karnataka;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Lemon and ginger squash (Nimbu aur adrak ka squash),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Apple jam (Seb ka murabba),Himachal Pradesh;Jammu and Kashmir;Uttarakhand;Punjab;Delhi,both,Vegetarian,3-6L"
"Plum jam (Aloo bukhara jam),Delhi;Punjab;Himachal Pradesh;Jammu and Kashmir;Uttarakhand,both,Vegetarian,3-6L"
"Pineapple jam ,Kerala;Goa;Tamil Nadu;Karnataka;Maharashtra,both,Vegetarian,1-3L;3-6L"
"Guava jelly (Amrood ki jelly),Uttar Pradesh;Bihar;Delhi;Haryana;Madhya Pradesh,both,Vegetarian,1-3L;3-6L"
"Orange marmalade (Santray ka murabba),Delhi;Mumbai;Pune;Hyderabad;Kolkata,urban,Vegetarian,3-6L;>6L"
"Carrot murabba (Gajar ka murabba),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Gooseberry marmalade (Amla murabba),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Ginger candy (Adrak ki candy),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mango pickle (Aam ka achaar),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mixed vegetable pickle (Sabziyoon ka achaar),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Sweet lemon pickle (Neembu ka meetha achaar),Delhi;Rajasthan;Uttar Pradesh;Haryana;Punjab,both,Vegetarian,1-3L;3-6L"
"Plum chutney (Aloo bukhara ki chutney),Delhi;Punjab;Himachal Pradesh;Uttarakhand;Kashmir,both,Vegetarian,3-6L"
"Raw mango chutney (Kachhe aam/Kairi ki chutney),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Tomato sauce,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Tomato puree,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Garam masala,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Chat masala,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Kashmiri masala,Jammu and Kashmir;Himachal Pradesh;Punjab;Delhi;Uttarakhand,both,Vegetarian,3-6L"
"Rasam powder (Rasam masala),Tamil Nadu;Karnataka;Andhra Pradesh;Kerala;Telangana,both,Vegetarian,1-3L;3-6L"
"Sambar powder (Sambar masala),Tamil Nadu;Karnataka;Kerala;Andhra Pradesh;Telangana,both,Vegetarian,1-3L;3-6L"
"Tartare sauce,Delhi;Mumbai;Hyderabad;Goa;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Barbeque sauce,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Non-Vegetarian,3-6L;>6L"
"Bread sauce,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Green chilli sauce,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Home made plain noodles,All Indian States and UTs,urban,Vegetarian,3-6L;>6L"
"Dal moong,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Cumin seeds baghar (Jeera baghar/tadka),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Onion tomato baghar (Pyaaz tamatar ka tadka),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Mustard seeds baghar (Mustard seed tadka),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Hot cherry sauce,Delhi;Mumbai;Hyderabad;Pune;Kolkata,urban,Vegetarian,3-6L;>6L"
"Apple jelly (Seb ki jelly),Himachal Pradesh;Uttarakhand;Jammu and Kashmir;Punjab;Delhi,both,Vegetarian,3-6L"
"Marmalade (Murabba),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Plum squash (Aloo bukhara squash),Himachal Pradesh;Punjab;Delhi;Uttarakhand;Jammu and Kashmir,both,Vegetarian,3-6L"
"Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Brinjal pickle (Baingan ka achaar),Andhra Pradesh;Telangana;Tamil Nadu;Karnataka;Kerala,both,Vegetarian,1-3L;3-6L"
"Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),Uttar Pradesh;Rajasthan;Delhi;Madhya Pradesh;Haryana,both,Vegetarian,1-3L;3-6L"
"Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),Delhi;Punjab;Haryana;Uttar Pradesh;Rajasthan,both,Vegetarian,1-3L;3-6L"
"Tomato chutney (Tamatar ki chutney),All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Tomato ketchup,All Indian States and UTs,both,Vegetarian,1-3L;3-6L"
"Bengal 5 Spice Blend (Panch Phoran),West Bengal;Odisha;Assam;Bihar;Jharkhand,both,Vegetarian,1-3L;3-6L"
